,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,srtm30m,989.0000, 44.1441,-71.7189,-2140,-1780,0,0
1,srtm30m,986.0000, 44.1441,-71.7184,-2140,-1739,1,0
2,srtm30m,983.0000, 44.1441,-71.7179,-2140,-1699,2,0
3,srtm30m,983.0000, 44.1441,-71.7174,-2140,-1659,3,0
4,srtm30m,986.0000, 44.1441,-71.7169,-2140,-1619,4,0
5,srtm30m,999.0000, 44.1441,-71.7164,-2140,-1579,5,0
6,srtm30m,1014.0000, 44.1441,-71.7159,-2140,-1540,6,0
7,srtm30m,1026.0000, 44.1441,-71.7154,-2140,-1500,7,0
8,srtm30m,1032.0000, 44.1441,-71.7149,-2140,-1460,8,0
9,srtm30m,1034.0000, 44.1441,-71.7144,-2140,-1420,9,0
10,srtm30m,1036.0000, 44.1441,-71.7139,-2140,-1380,10,0
11,srtm30m,1040.0000, 44.1441,-71.7134,-2140,-1339,11,0
12,srtm30m,1041.0000, 44.1441,-71.7129,-2140,-1299,12,0
13,srtm30m,1042.0000, 44.1441,-71.7124,-2140,-1259,13,0
14,srtm30m,1041.0000, 44.1441,-71.7119,-2140,-1219,14,0
15,srtm30m,1035.0000, 44.1441,-71.7114,-2140,-1179,15,0
16,srtm30m,1018.0000, 44.1441,-71.7109,-2140,-1140,16,0
17,srtm30m,998.0000, 44.1441,-71.7104,-2140,-1100,17,0
18,srtm30m,981.0000, 44.1441,-71.7099,-2140,-1060,18,0
19,srtm30m,960.0000, 44.1441,-71.7094,-2140,-1020,19,0
20,srtm30m,944.0000, 44.1441,-71.7089,-2140,-980,20,0
21,srtm30m,929.0000, 44.1441,-71.7084,-2140,-940,21,0
22,srtm30m,922.0000, 44.1441,-71.7079,-2140,-899,22,0
23,srtm30m,915.0000, 44.1441,-71.7074,-2140,-859,23,0
24,srtm30m,903.0000, 44.1441,-71.7069,-2140,-819,24,0
25,srtm30m,891.0000, 44.1441,-71.7064,-2140,-779,25,0
26,srtm30m,878.0000, 44.1441,-71.7059,-2140,-739,26,0
27,srtm30m,870.0000, 44.1441,-71.7054,-2140,-700,27,0
28,srtm30m,864.0000, 44.1441,-71.7049,-2140,-660,28,0
29,srtm30m,858.0000, 44.1441,-71.7044,-2140,-620,29,0
30,srtm30m,857.0000, 44.1441,-71.7039,-2140,-580,30,0
31,srtm30m,859.0000, 44.1441,-71.7034,-2140,-540,31,0
32,srtm30m,858.0000, 44.1441,-71.7029,-2140,-499,32,0
33,srtm30m,858.0000, 44.1441,-71.7024,-2140,-459,33,0
34,srtm30m,860.0000, 44.1441,-71.7019,-2140,-419,34,0
35,srtm30m,863.0000, 44.1441,-71.7014,-2140,-379,35,0
36,srtm30m,869.0000, 44.1441,-71.7009,-2140,-339,36,0
37,srtm30m,867.0000, 44.1441,-71.7004,-2140,-299,37,0
38,srtm30m,869.0000, 44.1441,-71.6999,-2140,-260,38,0
39,srtm30m,873.0000, 44.1441,-71.6994,-2140,-220,39,0
40,srtm30m,877.0000, 44.1441,-71.6989,-2140,-180,40,0
41,srtm30m,880.0000, 44.1441,-71.6984,-2140,-140,41,0
42,srtm30m,882.0000, 44.1441,-71.6979,-2140,-100,42,0
43,srtm30m,885.0000, 44.1441,-71.6974,-2140,-59,43,0
44,srtm30m,889.0000, 44.1441,-71.6969,-2140,-19,44,0
45,srtm30m,884.0000, 44.1441,-71.6964,-2140,20,45,0
46,srtm30m,870.0000, 44.1441,-71.6959,-2140,60,46,0
47,srtm30m,852.0000, 44.1441,-71.6954,-2140,100,47,0
48,srtm30m,828.0000, 44.1441,-71.6949,-2140,139,48,0
49,srtm30m,802.0000, 44.1441,-71.6944,-2140,179,49,0
50,srtm30m,779.0000, 44.1441,-71.6939,-2140,219,50,0
51,srtm30m,759.0000, 44.1441,-71.6934,-2140,259,51,0
52,srtm30m,742.0000, 44.1441,-71.6929,-2140,299,52,0
53,srtm30m,718.0000, 44.1441,-71.6924,-2140,339,53,0
54,srtm30m,696.0000, 44.1441,-71.6919,-2140,380,54,0
55,srtm30m,677.0000, 44.1441,-71.6913,-2140,420,55,0
56,srtm30m,660.0000, 44.1441,-71.6908,-2140,460,56,0
57,srtm30m,644.0000, 44.1441,-71.6903,-2140,500,57,0
58,srtm30m,631.0000, 44.1441,-71.6898,-2140,540,58,0
59,srtm30m,622.0000, 44.1441,-71.6893,-2140,579,59,0
60,srtm30m,610.0000, 44.1441,-71.6888,-2140,619,60,0
61,srtm30m,600.0000, 44.1441,-71.6883,-2140,659,61,0
62,srtm30m,591.0000, 44.1441,-71.6878,-2140,699,62,0
63,srtm30m,581.0000, 44.1441,-71.6873,-2140,739,63,0
64,srtm30m,576.0000, 44.1441,-71.6868,-2140,780,64,0
65,srtm30m,569.0000, 44.1441,-71.6863,-2140,820,65,0
66,srtm30m,560.0000, 44.1441,-71.6858,-2140,860,66,0
67,srtm30m,556.0000, 44.1441,-71.6853,-2140,900,67,0
68,srtm30m,554.0000, 44.1441,-71.6848,-2140,940,68,0
