,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,srtm30m,2979.0000, 37.8946,-119.2538,-2620,-3080,0,0
1,srtm30m,2982.0000, 37.8946,-119.2533,-2620,-3040,1,0
2,srtm30m,2988.0000, 37.8946,-119.2529,-2620,-2999,2,0
3,srtm30m,2992.0000, 37.8946,-119.2524,-2620,-2960,3,0
4,srtm30m,2996.0000, 37.8946,-119.2520,-2620,-2919,4,0
5,srtm30m,3001.0000, 37.8946,-119.2515,-2620,-2880,5,0
6,srtm30m,3004.0000, 37.8946,-119.2511,-2620,-2839,6,0
7,srtm30m,3005.0000, 37.8946,-119.2506,-2620,-2800,7,0
8,srtm30m,3008.0000, 37.8946,-119.2502,-2620,-2759,8,0
9,srtm30m,3014.0000, 37.8946,-119.2497,-2620,-2720,9,0
10,srtm30m,3022.0000, 37.8946,-119.2492,-2620,-2679,10,0
11,srtm30m,3029.0000, 37.8946,-119.2488,-2620,-2640,11,0
12,srtm30m,3033.0000, 37.8946,-119.2483,-2620,-2599,12,0
13,srtm30m,3037.0000, 37.8946,-119.2479,-2620,-2560,13,0
14,srtm30m,3044.0000, 37.8946,-119.2474,-2620,-2519,14,0
15,srtm30m,3054.0000, 37.8946,-119.2470,-2620,-2480,15,0
16,srtm30m,3070.0000, 37.8946,-119.2465,-2620,-2439,16,0
17,srtm30m,3089.0000, 37.8946,-119.2461,-2620,-2400,17,0
18,srtm30m,3106.0000, 37.8946,-119.2456,-2620,-2359,18,0
19,srtm30m,3120.0000, 37.8946,-119.2451,-2620,-2320,19,0
20,srtm30m,3139.0000, 37.8946,-119.2447,-2620,-2279,20,0
21,srtm30m,3158.0000, 37.8946,-119.2442,-2620,-2240,21,0
22,srtm30m,3184.0000, 37.8946,-119.2438,-2620,-2199,22,0
23,srtm30m,3211.0000, 37.8946,-119.2433,-2620,-2160,23,0
24,srtm30m,3238.0000, 37.8946,-119.2429,-2620,-2119,24,0
25,srtm30m,3254.0000, 37.8946,-119.2424,-2620,-2080,25,0
26,srtm30m,3275.0000, 37.8946,-119.2420,-2620,-2039,26,0
27,srtm30m,3289.0000, 37.8946,-119.2415,-2620,-2000,27,0
28,srtm30m,3312.0000, 37.8946,-119.2410,-2620,-1959,28,0
29,srtm30m,3332.0000, 37.8946,-119.2406,-2620,-1920,29,0
30,srtm30m,3336.0000, 37.8946,-119.2401,-2620,-1879,30,0
31,srtm30m,3337.0000, 37.8946,-119.2397,-2620,-1840,31,0
32,srtm30m,3335.0000, 37.8946,-119.2392,-2620,-1799,32,0
33,srtm30m,3340.0000, 37.8946,-119.2388,-2620,-1760,33,0
34,srtm30m,3337.0000, 37.8946,-119.2383,-2620,-1719,34,0
35,srtm30m,3332.0000, 37.8946,-119.2379,-2620,-1680,35,0
36,srtm30m,3332.0000, 37.8946,-119.2374,-2620,-1640,36,0
37,srtm30m,3327.0000, 37.8946,-119.2369,-2620,-1599,37,0
38,srtm30m,3323.0000, 37.8946,-119.2365,-2620,-1560,38,0
39,srtm30m,3323.0000, 37.8946,-119.2360,-2620,-1519,39,0
40,srtm30m,3332.0000, 37.8946,-119.2356,-2620,-1480,40,0
41,srtm30m,3339.0000, 37.8946,-119.2351,-2620,-1439,41,0
42,srtm30m,3347.0000, 37.8946,-119.2347,-2620,-1400,42,0
43,srtm30m,3350.0000, 37.8946,-119.2342,-2620,-1359,43,0
44,srtm30m,3354.0000, 37.8946,-119.2338,-2620,-1320,44,0
45,srtm30m,3366.0000, 37.8946,-119.2333,-2620,-1279,45,0
46,srtm30m,3372.0000, 37.8946,-119.2328,-2620,-1240,46,0
47,srtm30m,3390.0000, 37.8946,-119.2324,-2620,-1199,47,0
48,srtm30m,3411.0000, 37.8946,-119.2319,-2620,-1160,48,0
49,srtm30m,3427.0000, 37.8946,-119.2315,-2620,-1119,49,0
50,srtm30m,3440.0000, 37.8946,-119.2310,-2620,-1080,50,0
51,srtm30m,3461.0000, 37.8946,-119.2306,-2620,-1039,51,0
52,srtm30m,3470.0000, 37.8946,-119.2301,-2620,-1000,52,0
53,srtm30m,3489.0000, 37.8946,-119.2297,-2620,-959,53,0
54,srtm30m,3510.0000, 37.8946,-119.2292,-2620,-920,54,0
55,srtm30m,3534.0000, 37.8946,-119.2287,-2620,-879,55,0
56,srtm30m,3552.0000, 37.8946,-119.2283,-2620,-840,56,0
57,srtm30m,3567.0000, 37.8946,-119.2278,-2620,-799,57,0
58,srtm30m,3579.0000, 37.8946,-119.2274,-2620,-760,58,0
59,srtm30m,3593.0000, 37.8946,-119.2269,-2620,-719,59,0
60,srtm30m,3598.0000, 37.8946,-119.2265,-2620,-680,60,0
61,srtm30m,3605.0000, 37.8946,-119.2260,-2620,-639,61,0
62,srtm30m,3612.0000, 37.8946,-119.2256,-2620,-600,62,0
63,srtm30m,3615.0000, 37.8946,-119.2251,-2620,-559,63,0
64,srtm30m,3614.0000, 37.8946,-119.2246,-2620,-520,64,0
65,srtm30m,3621.0000, 37.8946,-119.2242,-2620,-479,65,0
66,srtm30m,3631.0000, 37.8946,-119.2237,-2620,-440,66,0
67,srtm30m,3644.0000, 37.8946,-119.2233,-2620,-399,67,0
68,srtm30m,3657.0000, 37.8946,-119.2228,-2620,-360,68,0
69,srtm30m,3669.0000, 37.8946,-119.2224,-2620,-319,69,0
70,srtm30m,3673.0000, 37.8946,-119.2219,-2620,-280,70,0
71,srtm30m,3686.0000, 37.8946,-119.2215,-2620,-239,71,0
72,srtm30m,3703.0000, 37.8946,-119.2210,-2620,-199,72,0
73,srtm30m,3712.0000, 37.8946,-119.2206,-2620,-160,73,0
74,srtm30m,3714.0000, 37.8946,-119.2201,-2620,-119,74,0
75,srtm30m,3723.0000, 37.8946,-119.2196,-2620,-80,75,0
76,srtm30m,3728.0000, 37.8946,-119.2192,-2620,-39,76,0
77,srtm30m,3715.0000, 37.8946,-119.2187,-2620,0,77,0
78,srtm30m,3697.0000, 37.8946,-119.2183,-2620,40,78,0
79,srtm30m,3693.0000, 37.8946,-119.2178,-2620,79,79,0
80,srtm30m,3685.0000, 37.8946,-119.2174,-2620,120,80,0
81,srtm30m,3675.0000, 37.8946,-119.2169,-2620,159,81,0
82,srtm30m,3672.0000, 37.8946,-119.2164,-2620,200,82,0
83,srtm30m,3666.0000, 37.8946,-119.2160,-2620,239,83,0
84,srtm30m,3657.0000, 37.8946,-119.2155,-2620,280,84,0
85,srtm30m,3651.0000, 37.8946,-119.2151,-2620,319,85,0
86,srtm30m,3644.0000, 37.8946,-119.2146,-2620,360,86,0
87,srtm30m,3631.0000, 37.8946,-119.2142,-2620,399,87,0
88,srtm30m,3619.0000, 37.8946,-119.2137,-2620,440,88,0
89,srtm30m,3609.0000, 37.8946,-119.2133,-2620,479,89,0
90,srtm30m,3598.0000, 37.8946,-119.2128,-2620,520,90,0
91,srtm30m,3592.0000, 37.8946,-119.2124,-2620,559,91,0
92,srtm30m,3593.0000, 37.8946,-119.2119,-2620,600,92,0
93,srtm30m,3591.0000, 37.8946,-119.2114,-2620,639,93,0
94,srtm30m,3585.0000, 37.8946,-119.2110,-2620,680,94,0
95,srtm30m,3577.0000, 37.8946,-119.2105,-2620,719,95,0
96,srtm30m,3568.0000, 37.8946,-119.2101,-2620,760,96,0
97,srtm30m,3544.0000, 37.8946,-119.2096,-2620,799,97,0
98,srtm30m,3504.0000, 37.8946,-119.2092,-2620,840,98,0
99,srtm30m,3473.0000, 37.8946,-119.2087,-2620,879,99,0
100,srtm30m,3447.0000, 37.8946,-119.2083,-2620,920,100,0
101,srtm30m,3430.0000, 37.8946,-119.2078,-2620,959,101,0
102,srtm30m,3394.0000, 37.8946,-119.2073,-2620,1000,102,0
103,srtm30m,3367.0000, 37.8946,-119.2069,-2620,1039,103,0
104,srtm30m,3352.0000, 37.8946,-119.2064,-2620,1080,104,0
105,srtm30m,3340.0000, 37.8946,-119.2060,-2620,1119,105,0
106,srtm30m,3329.0000, 37.8946,-119.2055,-2620,1160,106,0
107,srtm30m,3323.0000, 37.8946,-119.2051,-2620,1199,107,0
108,srtm30m,3318.0000, 37.8946,-119.2046,-2620,1239,108,0
109,srtm30m,3319.0000, 37.8946,-119.2042,-2620,1280,109,0
110,srtm30m,3314.0000, 37.8946,-119.2037,-2620,1319,110,0
111,srtm30m,3306.0000, 37.8946,-119.2032,-2620,1360,111,0
112,srtm30m,3299.0000, 37.8946,-119.2028,-2620,1399,112,0
113,srtm30m,3302.0000, 37.8946,-119.2023,-2620,1440,113,0
114,srtm30m,3307.0000, 37.8946,-119.2019,-2620,1479,114,0
115,srtm30m,3309.0000, 37.8946,-119.2014,-2620,1520,115,0
116,srtm30m,3301.0000, 37.8946,-119.2010,-2620,1559,116,0
117,srtm30m,3297.0000, 37.8946,-119.2005,-2620,1600,117,0
118,srtm30m,3285.0000, 37.8946,-119.2001,-2620,1639,118,0
119,srtm30m,3281.0000, 37.8946,-119.1996,-2620,1680,119,0
120,srtm30m,3273.0000, 37.8946,-119.1991,-2620,1719,120,0
121,srtm30m,3244.0000, 37.8946,-119.1987,-2620,1760,121,0
122,srtm30m,3265.0000, 37.8946,-119.1982,-2620,1799,122,0
123,srtm30m,3266.0000, 37.8946,-119.1978,-2620,1840,123,0
124,srtm30m,3269.0000, 37.8946,-119.1973,-2620,1879,124,0
125,srtm30m,3286.0000, 37.8946,-119.1969,-2620,1920,125,0
126,srtm30m,3292.0000, 37.8946,-119.1964,-2620,1959,126,0
127,srtm30m,3309.0000, 37.8946,-119.1960,-2620,2000,127,0
128,srtm30m,3326.0000, 37.8946,-119.1955,-2620,2039,128,0
129,srtm30m,3321.0000, 37.8946,-119.1950,-2620,2080,129,0
130,srtm30m,3313.0000, 37.8946,-119.1946,-2620,2119,130,0
131,srtm30m,3290.0000, 37.8946,-119.1941,-2620,2160,131,0
132,srtm30m,3320.0000, 37.8946,-119.1937,-2620,2199,132,0
133,srtm30m,3326.0000, 37.8946,-119.1932,-2620,2240,133,0
134,srtm30m,3341.0000, 37.8946,-119.1928,-2620,2279,134,0
135,srtm30m,3357.0000, 37.8946,-119.1923,-2620,2320,135,0
136,srtm30m,3358.0000, 37.8946,-119.1919,-2620,2359,136,0
137,srtm30m,3364.0000, 37.8946,-119.1914,-2620,2400,137,0
138,srtm30m,3362.0000, 37.8946,-119.1909,-2620,2439,138,0
139,srtm30m,3366.0000, 37.8946,-119.1905,-2620,2480,139,0
140,srtm30m,3360.0000, 37.8946,-119.1900,-2620,2519,140,0
141,srtm30m,3335.0000, 37.8946,-119.1896,-2620,2560,141,0
