,Unnamed: 0,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,0,srtm30m,1293.0000, 37.7249,-119.5584,-1875,-1549,0,0
1,1,srtm30m,1291.0000, 37.7249,-119.5578,-1875,-1499,1,0
2,2,srtm30m,1295.0000, 37.7249,-119.5573,-1875,-1449,2,0
3,3,srtm30m,1300.0000, 37.7249,-119.5567,-1875,-1399,3,0
4,4,srtm30m,1295.0000, 37.7249,-119.5561,-1875,-1349,4,0
5,5,srtm30m,1291.0000, 37.7249,-119.5556,-1875,-1299,5,0
6,6,srtm30m,1301.0000, 37.7249,-119.5550,-1875,-1249,6,0
7,7,srtm30m,1306.0000, 37.7249,-119.5544,-1875,-1199,7,0
8,8,srtm30m,1308.0000, 37.7249,-119.5539,-1875,-1149,8,0
9,9,srtm30m,1317.0000, 37.7249,-119.5533,-1875,-1099,9,0
10,10,srtm30m,1339.0000, 37.7249,-119.5527,-1875,-1049,10,0
11,11,srtm30m,1355.0000, 37.7249,-119.5522,-1875,-999,11,0
12,12,srtm30m,1371.0000, 37.7249,-119.5516,-1875,-949,12,0
13,13,srtm30m,1393.0000, 37.7249,-119.5510,-1875,-899,13,0
14,14,srtm30m,1413.0000, 37.7249,-119.5504,-1875,-849,14,0
15,15,srtm30m,1428.0000, 37.7249,-119.5499,-1875,-799,15,0
16,16,srtm30m,1451.0000, 37.7249,-119.5493,-1875,-749,16,0
17,17,srtm30m,1480.0000, 37.7249,-119.5487,-1875,-699,17,0
18,18,srtm30m,1498.0000, 37.7249,-119.5482,-1875,-649,18,0
19,19,srtm30m,1518.0000, 37.7249,-119.5476,-1875,-599,19,0
20,20,srtm30m,1532.0000, 37.7249,-119.5470,-1875,-549,20,0
21,21,srtm30m,1607.0000, 37.7249,-119.5465,-1875,-499,21,0
22,22,srtm30m,1666.0000, 37.7249,-119.5459,-1875,-449,22,0
23,23,srtm30m,1682.0000, 37.7249,-119.5453,-1875,-399,23,0
24,24,srtm30m,1680.0000, 37.7249,-119.5448,-1875,-349,24,0
25,25,srtm30m,1676.0000, 37.7249,-119.5442,-1875,-299,25,0
26,26,srtm30m,1678.0000, 37.7249,-119.5436,-1875,-249,26,0
27,27,srtm30m,1669.0000, 37.7249,-119.5431,-1875,-199,27,0
28,28,srtm30m,1663.0000, 37.7249,-119.5425,-1875,-149,28,0
29,29,srtm30m,1659.0000, 37.7249,-119.5419,-1875,-99,29,0
30,30,srtm30m,1660.0000, 37.7249,-119.5414,-1875,-49,30,0
31,31,srtm30m,1659.0000, 37.7249,-119.5408,-1875,0,31,0
32,32,srtm30m,1647.0000, 37.7249,-119.5402,-1875,50,32,0
33,33,srtm30m,1637.0000, 37.7249,-119.5397,-1875,100,33,0
34,34,srtm30m,1644.0000, 37.7249,-119.5391,-1875,150,34,0
35,35,srtm30m,1652.0000, 37.7249,-119.5385,-1875,200,35,0
36,36,srtm30m,1650.0000, 37.7249,-119.5380,-1875,250,36,0
37,37,srtm30m,1650.0000, 37.7249,-119.5374,-1875,300,37,0
38,38,srtm30m,1657.0000, 37.7249,-119.5368,-1875,350,38,0
39,39,srtm30m,1654.0000, 37.7249,-119.5362,-1875,400,39,0
40,40,srtm30m,1653.0000, 37.7249,-119.5357,-1875,450,40,0
41,41,srtm30m,1683.0000, 37.7249,-119.5351,-1875,500,41,0
42,42,srtm30m,1728.0000, 37.7249,-119.5345,-1875,550,42,0
43,43,srtm30m,1803.0000, 37.7249,-119.5340,-1875,600,43,0
44,44,srtm30m,1816.0000, 37.7249,-119.5334,-1875,650,44,0
45,45,srtm30m,1818.0000, 37.7249,-119.5328,-1875,700,45,0
46,46,srtm30m,1825.0000, 37.7249,-119.5323,-1875,750,46,0
47,47,srtm30m,1833.0000, 37.7249,-119.5317,-1875,800,47,0
48,48,srtm30m,1838.0000, 37.7249,-119.5311,-1875,850,48,0
49,49,srtm30m,1844.0000, 37.7249,-119.5306,-1875,900,49,0
50,50,srtm30m,1862.0000, 37.7249,-119.5300,-1875,950,50,0
51,51,srtm30m,1884.0000, 37.7249,-119.5294,-1875,1000,51,0
52,52,srtm30m,1889.0000, 37.7249,-119.5289,-1875,1050,52,0
53,53,srtm30m,1896.0000, 37.7249,-119.5283,-1875,1100,53,0
54,54,srtm30m,1900.0000, 37.7249,-119.5277,-1875,1150,54,0
55,55,srtm30m,1907.0000, 37.7249,-119.5272,-1875,1200,55,0
56,56,srtm30m,1911.0000, 37.7249,-119.5266,-1875,1250,56,0
57,57,srtm30m,1914.0000, 37.7249,-119.5260,-1875,1300,57,0
58,58,srtm30m,1917.0000, 37.7249,-119.5255,-1875,1350,58,0
59,59,srtm30m,1921.0000, 37.7249,-119.5249,-1875,1400,59,0
60,60,srtm30m,1925.0000, 37.7249,-119.5243,-1875,1450,60,0
61,61,srtm30m,1929.0000, 37.7249,-119.5238,-1875,1500,61,0
62,62,srtm30m,1949.0000, 37.7249,-119.5232,-1875,1550,62,0
63,63,srtm30m,1291.0000, 37.7253,-119.5584,-1825,-1549,0,1
64,64,srtm30m,1290.0000, 37.7253,-119.5578,-1825,-1499,1,1
65,65,srtm30m,1292.0000, 37.7253,-119.5573,-1825,-1449,2,1
66,66,srtm30m,1295.0000, 37.7253,-119.5567,-1825,-1399,3,1
67,67,srtm30m,1289.0000, 37.7253,-119.5561,-1825,-1349,4,1
68,68,srtm30m,1287.0000, 37.7253,-119.5556,-1825,-1299,5,1
69,69,srtm30m,1298.0000, 37.7253,-119.5550,-1825,-1249,6,1
70,70,srtm30m,1305.0000, 37.7253,-119.5544,-1825,-1199,7,1
71,71,srtm30m,1302.0000, 37.7253,-119.5539,-1825,-1149,8,1
72,72,srtm30m,1310.0000, 37.7253,-119.5533,-1825,-1099,9,1
73,73,srtm30m,1329.0000, 37.7253,-119.5527,-1825,-1049,10,1
74,74,srtm30m,1344.0000, 37.7253,-119.5522,-1825,-999,11,1
75,75,srtm30m,1367.0000, 37.7253,-119.5516,-1825,-949,12,1
76,76,srtm30m,1382.0000, 37.7253,-119.5510,-1825,-899,13,1
77,77,srtm30m,1403.0000, 37.7253,-119.5504,-1825,-849,14,1
78,78,srtm30m,1419.0000, 37.7253,-119.5499,-1825,-799,15,1
79,79,srtm30m,1435.0000, 37.7253,-119.5493,-1825,-749,16,1
80,80,srtm30m,1454.0000, 37.7253,-119.5487,-1825,-699,17,1
81,81,srtm30m,1470.0000, 37.7253,-119.5482,-1825,-649,18,1
82,82,srtm30m,1484.0000, 37.7253,-119.5476,-1825,-599,19,1
83,83,srtm30m,1503.0000, 37.7253,-119.5470,-1825,-549,20,1
84,84,srtm30m,1559.0000, 37.7253,-119.5465,-1825,-499,21,1
85,85,srtm30m,1630.0000, 37.7253,-119.5459,-1825,-449,22,1
86,86,srtm30m,1658.0000, 37.7253,-119.5453,-1825,-399,23,1
87,87,srtm30m,1662.0000, 37.7253,-119.5448,-1825,-349,24,1
88,88,srtm30m,1654.0000, 37.7253,-119.5442,-1825,-299,25,1
89,89,srtm30m,1651.0000, 37.7253,-119.5436,-1825,-249,26,1
90,90,srtm30m,1646.0000, 37.7253,-119.5431,-1825,-199,27,1
91,91,srtm30m,1636.0000, 37.7253,-119.5425,-1825,-149,28,1
92,92,srtm30m,1635.0000, 37.7253,-119.5419,-1825,-99,29,1
93,93,srtm30m,1639.0000, 37.7253,-119.5414,-1825,-49,30,1
94,94,srtm30m,1641.0000, 37.7253,-119.5408,-1825,0,31,1
95,95,srtm30m,1634.0000, 37.7253,-119.5402,-1825,50,32,1
96,96,srtm30m,1630.0000, 37.7253,-119.5397,-1825,100,33,1
97,97,srtm30m,1630.0000, 37.7253,-119.5391,-1825,150,34,1
98,98,srtm30m,1640.0000, 37.7253,-119.5385,-1825,200,35,1
99,99,srtm30m,1640.0000, 37.7253,-119.5380,-1825,250,36,1
100,0,srtm30m,1641.0000, 37.7253,-119.5374,-1825,300,37,1
101,1,srtm30m,1664.0000, 37.7253,-119.5368,-1825,350,38,1
102,2,srtm30m,1675.0000, 37.7253,-119.5362,-1825,400,39,1
103,3,srtm30m,1649.0000, 37.7253,-119.5357,-1825,450,40,1
104,4,srtm30m,1657.0000, 37.7253,-119.5351,-1825,500,41,1
105,5,srtm30m,1699.0000, 37.7253,-119.5345,-1825,550,42,1
106,6,srtm30m,1768.0000, 37.7253,-119.5340,-1825,600,43,1
107,7,srtm30m,1809.0000, 37.7253,-119.5334,-1825,650,44,1
108,8,srtm30m,1819.0000, 37.7253,-119.5328,-1825,700,45,1
109,9,srtm30m,1817.0000, 37.7253,-119.5323,-1825,750,46,1
110,10,srtm30m,1821.0000, 37.7253,-119.5317,-1825,800,47,1
111,11,srtm30m,1825.0000, 37.7253,-119.5311,-1825,850,48,1
112,12,srtm30m,1830.0000, 37.7253,-119.5306,-1825,900,49,1
113,13,srtm30m,1844.0000, 37.7253,-119.5300,-1825,950,50,1
114,14,srtm30m,1856.0000, 37.7253,-119.5294,-1825,1000,51,1
115,15,srtm30m,1866.0000, 37.7253,-119.5289,-1825,1050,52,1
116,16,srtm30m,1885.0000, 37.7253,-119.5283,-1825,1100,53,1
117,17,srtm30m,1894.0000, 37.7253,-119.5277,-1825,1150,54,1
118,18,srtm30m,1899.0000, 37.7253,-119.5272,-1825,1200,55,1
119,19,srtm30m,1904.0000, 37.7253,-119.5266,-1825,1250,56,1
120,20,srtm30m,1911.0000, 37.7253,-119.5260,-1825,1300,57,1
121,21,srtm30m,1912.0000, 37.7253,-119.5255,-1825,1350,58,1
