,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,srtm30m,2155.0000, 37.7390,-119.5430,-600,-659,0,0
1,srtm30m,2152.0000, 37.7390,-119.5427,-600,-629,1,0
2,srtm30m,2152.0000, 37.7390,-119.5423,-600,-599,2,0
3,srtm30m,2149.0000, 37.7390,-119.5420,-600,-570,3,0
4,srtm30m,2154.0000, 37.7390,-119.5416,-600,-540,4,0
5,srtm30m,2153.0000, 37.7390,-119.5413,-600,-510,5,0
6,srtm30m,2155.0000, 37.7390,-119.5410,-600,-479,6,0
7,srtm30m,2151.0000, 37.7390,-119.5406,-600,-449,7,0
8,srtm30m,2145.0000, 37.7390,-119.5403,-600,-420,8,0
9,srtm30m,2140.0000, 37.7390,-119.5399,-600,-390,9,0
10,srtm30m,2139.0000, 37.7390,-119.5396,-600,-360,10,0
11,srtm30m,2138.0000, 37.7390,-119.5393,-600,-329,11,0
12,srtm30m,2136.0000, 37.7390,-119.5389,-600,-299,12,0
13,srtm30m,2132.0000, 37.7390,-119.5386,-600,-269,13,0
14,srtm30m,2115.0000, 37.7390,-119.5382,-600,-240,14,0
15,srtm30m,2096.0000, 37.7390,-119.5379,-600,-210,15,0
16,srtm30m,2082.0000, 37.7390,-119.5375,-600,-179,16,0
17,srtm30m,2077.0000, 37.7390,-119.5372,-600,-149,17,0
18,srtm30m,2068.0000, 37.7390,-119.5369,-600,-119,18,0
19,srtm30m,2059.0000, 37.7390,-119.5365,-600,-90,19,0
20,srtm30m,2053.0000, 37.7390,-119.5362,-600,-60,20,0
21,srtm30m,2044.0000, 37.7390,-119.5358,-600,-30,21,0
22,srtm30m,2036.0000, 37.7390,-119.5355,-600,0,22,0
23,srtm30m,2012.0000, 37.7390,-119.5352,-600,30,23,0
24,srtm30m,1987.0000, 37.7390,-119.5348,-600,59,24,0
25,srtm30m,1971.0000, 37.7390,-119.5345,-600,89,25,0
26,srtm30m,1966.0000, 37.7390,-119.5341,-600,119,26,0
27,srtm30m,1960.0000, 37.7390,-119.5338,-600,150,27,0
28,srtm30m,1958.0000, 37.7390,-119.5335,-600,180,28,0
29,srtm30m,1959.0000, 37.7390,-119.5331,-600,210,29,0
30,srtm30m,1947.0000, 37.7390,-119.5328,-600,239,30,0
31,srtm30m,1937.0000, 37.7390,-119.5324,-600,269,31,0
32,srtm30m,1932.0000, 37.7390,-119.5321,-600,300,32,0
33,srtm30m,1933.0000, 37.7390,-119.5318,-600,330,33,0
34,srtm30m,1939.0000, 37.7390,-119.5314,-600,360,34,0
35,srtm30m,1941.0000, 37.7390,-119.5311,-600,389,35,0
36,srtm30m,1933.0000, 37.7390,-119.5307,-600,419,36,0
37,srtm30m,1932.0000, 37.7390,-119.5304,-600,449,37,0
38,srtm30m,1933.0000, 37.7390,-119.5300,-600,480,38,0
39,srtm30m,1934.0000, 37.7390,-119.5297,-600,510,39,0
40,srtm30m,1935.0000, 37.7390,-119.5294,-600,539,40,0
41,srtm30m,1938.0000, 37.7390,-119.5290,-600,569,41,0
42,srtm30m,1941.0000, 37.7390,-119.5287,-600,599,42,0
43,srtm30m,1942.0000, 37.7390,-119.5283,-600,630,43,0
44,srtm30m,1942.0000, 37.7390,-119.5280,-600,660,44,0
45,srtm30m,2162.0000, 37.7393,-119.5430,-570,-659,0,1
46,srtm30m,2162.0000, 37.7393,-119.5427,-570,-629,1,1
47,srtm30m,2164.0000, 37.7393,-119.5423,-570,-599,2,1
48,srtm30m,2160.0000, 37.7393,-119.5420,-570,-570,3,1
49,srtm30m,2161.0000, 37.7393,-119.5416,-570,-540,4,1
50,srtm30m,2169.0000, 37.7393,-119.5413,-570,-510,5,1
51,srtm30m,2171.0000, 37.7393,-119.5410,-570,-479,6,1
