,Unnamed: 0,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,0,srtm30m,3310.0000, 37.5247,-118.8693,-2675,-1725,0,0
1,1,srtm30m,3284.0000, 37.5247,-118.8687,-2675,-1674,1,0
2,2,srtm30m,3257.0000, 37.5247,-118.8682,-2675,-1625,2,0
3,3,srtm30m,3238.0000, 37.5247,-118.8676,-2675,-1574,3,0
4,4,srtm30m,3222.0000, 37.5247,-118.8670,-2675,-1525,4,0
5,5,srtm30m,3203.0000, 37.5247,-118.8665,-2675,-1474,5,0
6,6,srtm30m,3186.0000, 37.5247,-118.8659,-2675,-1425,6,0
7,7,srtm30m,3185.0000, 37.5247,-118.8653,-2675,-1374,7,0
8,8,srtm30m,3198.0000, 37.5247,-118.8648,-2675,-1325,8,0
9,9,srtm30m,3197.0000, 37.5247,-118.8642,-2675,-1274,9,0
10,10,srtm30m,3189.0000, 37.5247,-118.8636,-2675,-1225,10,0
11,11,srtm30m,3200.0000, 37.5247,-118.8631,-2675,-1174,11,0
12,12,srtm30m,3225.0000, 37.5247,-118.8625,-2675,-1125,12,0
13,13,srtm30m,3270.0000, 37.5247,-118.8619,-2675,-1074,13,0
14,14,srtm30m,3298.0000, 37.5247,-118.8614,-2675,-1025,14,0
15,15,srtm30m,3292.0000, 37.5247,-118.8608,-2675,-974,15,0
16,16,srtm30m,3285.0000, 37.5247,-118.8602,-2675,-925,16,0
17,17,srtm30m,3283.0000, 37.5247,-118.8597,-2675,-874,17,0
18,18,srtm30m,3281.0000, 37.5247,-118.8591,-2675,-825,18,0
19,19,srtm30m,3288.0000, 37.5247,-118.8585,-2675,-774,19,0
20,20,srtm30m,3302.0000, 37.5247,-118.8580,-2675,-725,20,0
21,21,srtm30m,3322.0000, 37.5247,-118.8574,-2675,-674,21,0
22,22,srtm30m,3350.0000, 37.5247,-118.8568,-2675,-624,22,0
23,23,srtm30m,3399.0000, 37.5247,-118.8563,-2675,-575,23,0
24,24,srtm30m,3428.0000, 37.5247,-118.8557,-2675,-524,24,0
25,25,srtm30m,3492.0000, 37.5247,-118.8551,-2675,-475,25,0
26,26,srtm30m,3549.0000, 37.5247,-118.8546,-2675,-424,26,0
27,27,srtm30m,3637.0000, 37.5247,-118.8540,-2675,-375,27,0
28,28,srtm30m,3708.0000, 37.5247,-118.8534,-2675,-324,28,0
29,29,srtm30m,3739.0000, 37.5247,-118.8529,-2675,-275,29,0
30,30,srtm30m,3733.0000, 37.5247,-118.8523,-2675,-224,30,0
31,31,srtm30m,3717.0000, 37.5247,-118.8517,-2675,-175,31,0
32,32,srtm30m,3697.0000, 37.5247,-118.8512,-2675,-124,32,0
33,33,srtm30m,3653.0000, 37.5247,-118.8506,-2675,-75,33,0
34,34,srtm30m,3599.0000, 37.5247,-118.8500,-2675,-24,34,0
35,35,srtm30m,3557.0000, 37.5247,-118.8495,-2675,24,35,0
36,36,srtm30m,3529.0000, 37.5247,-118.8489,-2675,75,36,0
37,37,srtm30m,3498.0000, 37.5247,-118.8483,-2675,124,37,0
38,38,srtm30m,3473.0000, 37.5247,-118.8478,-2675,175,38,0
39,39,srtm30m,3474.0000, 37.5247,-118.8472,-2675,224,39,0
40,40,srtm30m,3425.0000, 37.5247,-118.8466,-2675,275,40,0
41,41,srtm30m,3417.0000, 37.5247,-118.8461,-2675,324,41,0
42,42,srtm30m,3412.0000, 37.5247,-118.8455,-2675,375,42,0
43,43,srtm30m,3420.0000, 37.5247,-118.8449,-2675,425,43,0
44,44,srtm30m,3431.0000, 37.5247,-118.8444,-2675,474,44,0
45,45,srtm30m,3444.0000, 37.5247,-118.8438,-2675,525,45,0
46,46,srtm30m,3475.0000, 37.5247,-118.8432,-2675,574,46,0
47,47,srtm30m,3500.0000, 37.5247,-118.8427,-2675,625,47,0
48,48,srtm30m,3531.0000, 37.5247,-118.8421,-2675,674,48,0
49,49,srtm30m,3566.0000, 37.5247,-118.8415,-2675,725,49,0
50,50,srtm30m,3582.0000, 37.5247,-118.8410,-2675,774,50,0
51,51,srtm30m,3581.0000, 37.5247,-118.8404,-2675,825,51,0
52,52,srtm30m,3533.0000, 37.5247,-118.8398,-2675,874,52,0
53,53,srtm30m,3511.0000, 37.5247,-118.8393,-2675,925,53,0
54,54,srtm30m,3483.0000, 37.5247,-118.8387,-2675,974,54,0
55,55,srtm30m,3462.0000, 37.5247,-118.8381,-2675,1025,55,0
56,56,srtm30m,3436.0000, 37.5247,-118.8376,-2675,1074,56,0
57,57,srtm30m,3415.0000, 37.5247,-118.8370,-2675,1125,57,0
58,58,srtm30m,3372.0000, 37.5247,-118.8364,-2675,1174,58,0
59,59,srtm30m,3350.0000, 37.5247,-118.8359,-2675,1225,59,0
60,60,srtm30m,3308.0000, 37.5247,-118.8353,-2675,1274,60,0
61,61,srtm30m,3296.0000, 37.5247,-118.8347,-2675,1325,61,0
62,62,srtm30m,3276.0000, 37.5247,-118.8342,-2675,1374,62,0
63,63,srtm30m,3256.0000, 37.5247,-118.8336,-2675,1425,63,0
64,64,srtm30m,3229.0000, 37.5247,-118.8330,-2675,1475,64,0
65,65,srtm30m,3201.0000, 37.5247,-118.8325,-2675,1524,65,0
66,66,srtm30m,3171.0000, 37.5247,-118.8319,-2675,1575,66,0
67,67,srtm30m,3157.0000, 37.5247,-118.8313,-2675,1624,67,0
68,68,srtm30m,3147.0000, 37.5247,-118.8308,-2675,1675,68,0
69,69,srtm30m,3135.0000, 37.5247,-118.8302,-2675,1724,69,0
70,70,srtm30m,3288.0000, 37.5251,-118.8693,-2625,-1725,0,1
71,71,srtm30m,3267.0000, 37.5251,-118.8687,-2625,-1674,1,1
72,72,srtm30m,3239.0000, 37.5251,-118.8682,-2625,-1625,2,1
73,73,srtm30m,3226.0000, 37.5251,-118.8676,-2625,-1574,3,1
74,74,srtm30m,3216.0000, 37.5251,-118.8670,-2625,-1525,4,1
75,75,srtm30m,3194.0000, 37.5251,-118.8665,-2625,-1474,5,1
76,76,srtm30m,3174.0000, 37.5251,-118.8659,-2625,-1425,6,1
77,77,srtm30m,3173.0000, 37.5251,-118.8653,-2625,-1374,7,1
78,78,srtm30m,3177.0000, 37.5251,-118.8648,-2625,-1325,8,1
79,79,srtm30m,3178.0000, 37.5251,-118.8642,-2625,-1274,9,1
80,80,srtm30m,3174.0000, 37.5251,-118.8636,-2625,-1225,10,1
81,81,srtm30m,3186.0000, 37.5251,-118.8631,-2625,-1174,11,1
82,82,srtm30m,3230.0000, 37.5251,-118.8625,-2625,-1125,12,1
83,83,srtm30m,3279.0000, 37.5251,-118.8619,-2625,-1074,13,1
84,84,srtm30m,3286.0000, 37.5251,-118.8614,-2625,-1025,14,1
85,85,srtm30m,3278.0000, 37.5251,-118.8608,-2625,-974,15,1
86,86,srtm30m,3270.0000, 37.5251,-118.8602,-2625,-925,16,1
