,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,srtm30m,2228.0000, 39.1397,-120.2566,-1920,-1879,0,0
1,srtm30m,2233.0000, 39.1397,-120.2561,-1920,-1840,1,0
2,srtm30m,2234.0000, 39.1397,-120.2557,-1920,-1799,2,0
3,srtm30m,2241.0000, 39.1397,-120.2552,-1920,-1760,3,0
4,srtm30m,2252.0000, 39.1397,-120.2547,-1920,-1719,4,0
5,srtm30m,2261.0000, 39.1397,-120.2543,-1920,-1679,5,0
6,srtm30m,2274.0000, 39.1397,-120.2538,-1920,-1640,6,0
7,srtm30m,2295.0000, 39.1397,-120.2534,-1920,-1599,7,0
8,srtm30m,2314.0000, 39.1397,-120.2529,-1920,-1560,8,0
9,srtm30m,2323.0000, 39.1397,-120.2524,-1920,-1519,9,0
10,srtm30m,2330.0000, 39.1397,-120.2520,-1920,-1479,10,0
11,srtm30m,2345.0000, 39.1397,-120.2515,-1920,-1440,11,0
12,srtm30m,2363.0000, 39.1397,-120.2510,-1920,-1399,12,0
13,srtm30m,2378.0000, 39.1397,-120.2506,-1920,-1360,13,0
14,srtm30m,2392.0000, 39.1397,-120.2501,-1920,-1319,14,0
15,srtm30m,2412.0000, 39.1397,-120.2496,-1920,-1279,15,0
16,srtm30m,2418.0000, 39.1397,-120.2492,-1920,-1240,16,0
17,srtm30m,2428.0000, 39.1397,-120.2487,-1920,-1199,17,0
18,srtm30m,2455.0000, 39.1397,-120.2483,-1920,-1160,18,0
19,srtm30m,2478.0000, 39.1397,-120.2478,-1920,-1119,19,0
20,srtm30m,2488.0000, 39.1397,-120.2473,-1920,-1079,20,0
21,srtm30m,2500.0000, 39.1397,-120.2469,-1920,-1040,21,0
22,srtm30m,2509.0000, 39.1397,-120.2464,-1920,-999,22,0
23,srtm30m,2506.0000, 39.1397,-120.2459,-1920,-960,23,0
24,srtm30m,2479.0000, 39.1397,-120.2455,-1920,-919,24,0
25,srtm30m,2460.0000, 39.1397,-120.2450,-1920,-879,25,0
26,srtm30m,2455.0000, 39.1397,-120.2446,-1920,-840,26,0
27,srtm30m,2449.0000, 39.1397,-120.2441,-1920,-799,27,0
28,srtm30m,2414.0000, 39.1397,-120.2436,-1920,-760,28,0
29,srtm30m,2379.0000, 39.1397,-120.2432,-1920,-719,29,0
30,srtm30m,2375.0000, 39.1397,-120.2427,-1920,-679,30,0
31,srtm30m,2358.0000, 39.1397,-120.2422,-1920,-640,31,0
32,srtm30m,2332.0000, 39.1397,-120.2418,-1920,-599,32,0
33,srtm30m,2328.0000, 39.1397,-120.2413,-1920,-560,33,0
34,srtm30m,2323.0000, 39.1397,-120.2408,-1920,-519,34,0
35,srtm30m,2314.0000, 39.1397,-120.2404,-1920,-479,35,0
36,srtm30m,2314.0000, 39.1397,-120.2399,-1920,-440,36,0
37,srtm30m,2312.0000, 39.1397,-120.2395,-1920,-399,37,0
38,srtm30m,2307.0000, 39.1397,-120.2390,-1920,-360,38,0
39,srtm30m,2305.0000, 39.1397,-120.2385,-1920,-319,39,0
40,srtm30m,2303.0000, 39.1397,-120.2381,-1920,-279,40,0
41,srtm30m,2302.0000, 39.1397,-120.2376,-1920,-240,41,0
42,srtm30m,2299.0000, 39.1397,-120.2371,-1920,-199,42,0
43,srtm30m,2298.0000, 39.1397,-120.2367,-1920,-160,43,0
44,srtm30m,2290.0000, 39.1397,-120.2362,-1920,-119,44,0
45,srtm30m,2275.0000, 39.1397,-120.2357,-1920,-79,45,0
46,srtm30m,2260.0000, 39.1397,-120.2353,-1920,-40,46,0
47,srtm30m,2262.0000, 39.1397,-120.2348,-1920,0,47,0
48,srtm30m,2250.0000, 39.1397,-120.2344,-1920,39,48,0
49,srtm30m,2231.0000, 39.1397,-120.2339,-1920,80,49,0
50,srtm30m,2227.0000, 39.1397,-120.2334,-1920,120,50,0
51,srtm30m,2225.0000, 39.1397,-120.2330,-1920,159,51,0
52,srtm30m,2222.0000, 39.1397,-120.2325,-1920,200,52,0
53,srtm30m,2216.0000, 39.1397,-120.2320,-1920,239,53,0
54,srtm30m,2213.0000, 39.1397,-120.2316,-1920,280,54,0
55,srtm30m,2202.0000, 39.1397,-120.2311,-1920,320,55,0
56,srtm30m,2200.0000, 39.1397,-120.2306,-1920,359,56,0
57,srtm30m,2195.0000, 39.1397,-120.2302,-1920,400,57,0
58,srtm30m,2190.0000, 39.1397,-120.2297,-1920,439,58,0
59,srtm30m,2188.0000, 39.1397,-120.2293,-1920,480,59,0
60,srtm30m,2184.0000, 39.1397,-120.2288,-1920,520,60,0
61,srtm30m,2177.0000, 39.1397,-120.2283,-1920,559,61,0
62,srtm30m,2168.0000, 39.1397,-120.2279,-1920,600,62,0
63,srtm30m,2153.0000, 39.1397,-120.2274,-1920,639,63,0
64,srtm30m,2136.0000, 39.1397,-120.2269,-1920,679,64,0
65,srtm30m,2130.0000, 39.1397,-120.2265,-1920,720,65,0
66,srtm30m,2124.0000, 39.1397,-120.2260,-1920,759,66,0
67,srtm30m,2121.0000, 39.1397,-120.2256,-1920,800,67,0
68,srtm30m,2115.0000, 39.1397,-120.2251,-1920,839,68,0
69,srtm30m,2108.0000, 39.1397,-120.2246,-1920,879,69,0
70,srtm30m,2099.0000, 39.1397,-120.2242,-1920,920,70,0
71,srtm30m,2091.0000, 39.1397,-120.2237,-1920,959,71,0
72,srtm30m,2085.0000, 39.1397,-120.2232,-1920,1000,72,0
73,srtm30m,2081.0000, 39.1397,-120.2228,-1920,1039,73,0
74,srtm30m,2071.0000, 39.1397,-120.2223,-1920,1079,74,0
75,srtm30m,2064.0000, 39.1397,-120.2218,-1920,1120,75,0
76,srtm30m,2063.0000, 39.1397,-120.2214,-1920,1159,76,0
77,srtm30m,2062.0000, 39.1397,-120.2209,-1920,1200,77,0
78,srtm30m,2057.0000, 39.1397,-120.2205,-1920,1239,78,0
79,srtm30m,2058.0000, 39.1397,-120.2200,-1920,1279,79,0
80,srtm30m,2055.0000, 39.1397,-120.2195,-1920,1320,80,0
81,srtm30m,2053.0000, 39.1397,-120.2191,-1920,1359,81,0
82,srtm30m,2052.0000, 39.1397,-120.2186,-1920,1400,82,0
83,srtm30m,2052.0000, 39.1397,-120.2181,-1920,1439,83,0
84,srtm30m,2049.0000, 39.1397,-120.2177,-1920,1479,84,0
85,srtm30m,2045.0000, 39.1397,-120.2172,-1920,1520,85,0
86,srtm30m,2042.0000, 39.1397,-120.2167,-1920,1559,86,0
87,srtm30m,2042.0000, 39.1397,-120.2163,-1920,1600,87,0
88,srtm30m,2039.0000, 39.1397,-120.2158,-1920,1639,88,0
89,srtm30m,2037.0000, 39.1397,-120.2154,-1920,1679,89,0
90,srtm30m,2037.0000, 39.1397,-120.2149,-1920,1720,90,0
91,srtm30m,2040.0000, 39.1397,-120.2144,-1920,1759,91,0
92,srtm30m,2040.0000, 39.1397,-120.2140,-1920,1800,92,0
93,srtm30m,2039.0000, 39.1397,-120.2135,-1920,1839,93,0
94,srtm30m,2040.0000, 39.1397,-120.2130,-1920,1879,94,0
95,srtm30m,2231.0000, 39.1401,-120.2566,-1880,-1879,0,1
96,srtm30m,2244.0000, 39.1401,-120.2561,-1880,-1840,1,1
