,Unnamed: 0,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,0,srtm30m,2228.0000, 39.1397,-120.2566,-1899,-1850,0,0
1,1,srtm30m,2237.0000, 39.1397,-120.2554,-1899,-1750,1,0
2,2,srtm30m,2261.0000, 39.1397,-120.2543,-1899,-1649,2,0
3,3,srtm30m,2303.0000, 39.1397,-120.2531,-1899,-1550,3,0
4,4,srtm30m,2330.0000, 39.1397,-120.2520,-1899,-1449,4,0
5,5,srtm30m,2370.0000, 39.1397,-120.2508,-1899,-1350,5,0
6,6,srtm30m,2412.0000, 39.1397,-120.2496,-1899,-1249,6,0
7,7,srtm30m,2440.0000, 39.1397,-120.2485,-1899,-1150,7,0
8,8,srtm30m,2488.0000, 39.1397,-120.2473,-1899,-1049,8,0
9,9,srtm30m,2511.0000, 39.1397,-120.2462,-1899,-950,9,0
10,10,srtm30m,2460.0000, 39.1397,-120.2450,-1899,-849,10,0
11,11,srtm30m,2437.0000, 39.1397,-120.2439,-1899,-750,11,0
12,12,srtm30m,2375.0000, 39.1397,-120.2427,-1899,-649,12,0
13,13,srtm30m,2331.0000, 39.1397,-120.2415,-1899,-550,13,0
14,14,srtm30m,2314.0000, 39.1397,-120.2404,-1899,-449,14,0
15,15,srtm30m,2311.0000, 39.1397,-120.2392,-1899,-350,15,0
16,16,srtm30m,2303.0000, 39.1397,-120.2381,-1899,-249,16,0
17,17,srtm30m,2297.0000, 39.1397,-120.2369,-1899,-150,17,0
18,18,srtm30m,2275.0000, 39.1397,-120.2357,-1899,-49,18,0
19,19,srtm30m,2258.0000, 39.1397,-120.2346,-1899,49,19,0
20,20,srtm30m,2227.0000, 39.1397,-120.2334,-1899,150,20,0
21,21,srtm30m,2217.0000, 39.1397,-120.2323,-1899,249,21,0
22,22,srtm30m,2202.0000, 39.1397,-120.2311,-1899,350,22,0
23,23,srtm30m,2192.0000, 39.1397,-120.2300,-1899,449,23,0
24,24,srtm30m,2184.0000, 39.1397,-120.2288,-1899,550,24,0
25,25,srtm30m,2160.0000, 39.1397,-120.2276,-1899,649,25,0
26,26,srtm30m,2130.0000, 39.1397,-120.2265,-1899,750,26,0
27,27,srtm30m,2117.0000, 39.1397,-120.2253,-1899,849,27,0
28,28,srtm30m,2099.0000, 39.1397,-120.2242,-1899,950,28,0
29,29,srtm30m,2084.0000, 39.1397,-120.2230,-1899,1049,29,0
30,30,srtm30m,2064.0000, 39.1397,-120.2218,-1899,1150,30,0
31,31,srtm30m,2059.0000, 39.1397,-120.2207,-1899,1249,31,0
32,32,srtm30m,2055.0000, 39.1397,-120.2195,-1899,1350,32,0
33,33,srtm30m,2051.0000, 39.1397,-120.2184,-1899,1449,33,0
34,34,srtm30m,2045.0000, 39.1397,-120.2172,-1899,1550,34,0
35,35,srtm30m,2040.0000, 39.1397,-120.2161,-1899,1649,35,0
36,36,srtm30m,2037.0000, 39.1397,-120.2149,-1899,1750,36,0
37,37,srtm30m,2039.0000, 39.1397,-120.2137,-1899,1849,37,0
38,38,srtm30m,2238.0000, 39.1406,-120.2566,-1800,-1850,0,1
39,39,srtm30m,2263.0000, 39.1406,-120.2554,-1800,-1750,1,1
40,40,srtm30m,2289.0000, 39.1406,-120.2543,-1800,-1649,2,1
41,41,srtm30m,2310.0000, 39.1406,-120.2531,-1800,-1550,3,1
