,Unnamed: 0,dataset,elevation,location.lat,location.lng,y,x,ix,iy
0,0,srtm30m,3454.0000, 37.2354,-118.6974,-7749,-3399,0,0
1,1,srtm30m,3457.0000, 37.2354,-118.6963,-7749,-3300,1,0
2,2,srtm30m,3461.0000, 37.2354,-118.6951,-7749,-3199,2,0
3,3,srtm30m,3472.0000, 37.2354,-118.6940,-7749,-3100,3,0
4,4,srtm30m,3472.0000, 37.2354,-118.6929,-7749,-3000,4,0
5,5,srtm30m,3467.0000, 37.2354,-118.6918,-7749,-2899,5,0
6,6,srtm30m,3482.0000, 37.2354,-118.6906,-7749,-2800,6,0
7,7,srtm30m,3481.0000, 37.2354,-118.6895,-7749,-2699,7,0
8,8,srtm30m,3479.0000, 37.2354,-118.6884,-7749,-2599,8,0
9,9,srtm30m,3480.0000, 37.2354,-118.6872,-7749,-2500,9,0
10,10,srtm30m,3502.0000, 37.2354,-118.6861,-7749,-2399,10,0
11,11,srtm30m,3526.0000, 37.2354,-118.6850,-7749,-2300,11,0
12,12,srtm30m,3560.0000, 37.2354,-118.6838,-7749,-2200,12,0
13,13,srtm30m,3583.0000, 37.2354,-118.6827,-7749,-2099,13,0
14,14,srtm30m,3583.0000, 37.2354,-118.6816,-7749,-2000,14,0
15,15,srtm30m,3576.0000, 37.2354,-118.6805,-7749,-1899,15,0
16,16,srtm30m,3505.0000, 37.2354,-118.6793,-7749,-1799,16,0
17,17,srtm30m,3431.0000, 37.2354,-118.6782,-7749,-1700,17,0
18,18,srtm30m,3379.0000, 37.2354,-118.6771,-7749,-1599,18,0
19,19,srtm30m,3352.0000, 37.2354,-118.6759,-7749,-1499,19,0
20,20,srtm30m,3344.0000, 37.2354,-118.6748,-7749,-1400,20,0
21,21,srtm30m,3345.0000, 37.2354,-118.6737,-7749,-1299,21,0
22,22,srtm30m,3349.0000, 37.2354,-118.6726,-7749,-1200,22,0
23,23,srtm30m,3340.0000, 37.2354,-118.6714,-7749,-1100,23,0
24,24,srtm30m,3340.0000, 37.2354,-118.6703,-7749,-999,24,0
25,25,srtm30m,3344.0000, 37.2354,-118.6692,-7749,-900,25,0
26,26,srtm30m,3343.0000, 37.2354,-118.6680,-7749,-799,26,0
27,27,srtm30m,3338.0000, 37.2354,-118.6669,-7749,-699,27,0
28,28,srtm30m,3336.0000, 37.2354,-118.6658,-7749,-600,28,0
29,29,srtm30m,3321.0000, 37.2354,-118.6646,-7749,-499,29,0
30,30,srtm30m,3309.0000, 37.2354,-118.6635,-7749,-400,30,0
31,31,srtm30m,3320.0000, 37.2354,-118.6624,-7749,-300,31,0
32,32,srtm30m,3339.0000, 37.2354,-118.6613,-7749,-199,32,0
33,33,srtm30m,3347.0000, 37.2354,-118.6601,-7749,-100,33,0
34,34,srtm30m,3398.0000, 37.2354,-118.6590,-7749,0,34,0
35,35,srtm30m,3432.0000, 37.2354,-118.6579,-7749,100,35,0
36,36,srtm30m,3420.0000, 37.2354,-118.6567,-7749,199,36,0
37,37,srtm30m,3446.0000, 37.2354,-118.6556,-7749,300,37,0
38,38,srtm30m,3468.0000, 37.2354,-118.6545,-7749,400,38,0
39,39,srtm30m,3446.0000, 37.2354,-118.6534,-7749,499,39,0
40,40,srtm30m,3389.0000, 37.2354,-118.6522,-7749,600,40,0
41,41,srtm30m,3341.0000, 37.2354,-118.6511,-7749,699,41,0
42,42,srtm30m,3325.0000, 37.2354,-118.6500,-7749,799,42,0
43,43,srtm30m,3315.0000, 37.2354,-118.6488,-7749,900,43,0
44,44,srtm30m,3327.0000, 37.2354,-118.6477,-7749,999,44,0
45,45,srtm30m,3374.0000, 37.2354,-118.6466,-7749,1100,45,0
46,46,srtm30m,3355.0000, 37.2354,-118.6454,-7749,1200,46,0
47,47,srtm30m,3379.0000, 37.2354,-118.6443,-7749,1299,47,0
48,48,srtm30m,3418.0000, 37.2354,-118.6432,-7749,1400,48,0
49,49,srtm30m,3454.0000, 37.2354,-118.6421,-7749,1500,49,0
50,50,srtm30m,3443.0000, 37.2354,-118.6409,-7749,1599,50,0
51,51,srtm30m,3462.0000, 37.2354,-118.6398,-7749,1700,51,0
52,52,srtm30m,3501.0000, 37.2354,-118.6387,-7749,1799,52,0
53,53,srtm30m,3454.0000, 37.2354,-118.6375,-7749,1899,53,0
54,54,srtm30m,3384.0000, 37.2354,-118.6364,-7749,2000,54,0
55,55,srtm30m,3384.0000, 37.2354,-118.6353,-7749,2099,55,0
56,56,srtm30m,3358.0000, 37.2354,-118.6342,-7749,2200,56,0
57,57,srtm30m,3327.0000, 37.2354,-118.6330,-7749,2300,57,0
58,58,srtm30m,3308.0000, 37.2354,-118.6319,-7749,2399,58,0
59,59,srtm30m,3303.0000, 37.2354,-118.6308,-7749,2500,59,0
60,60,srtm30m,3293.0000, 37.2354,-118.6296,-7749,2599,60,0
61,61,srtm30m,3270.0000, 37.2354,-118.6285,-7749,2699,61,0
62,62,srtm30m,3249.0000, 37.2354,-118.6274,-7749,2800,62,0
63,63,srtm30m,3227.0000, 37.2354,-118.6262,-7749,2899,63,0
64,64,srtm30m,3184.0000, 37.2354,-118.6251,-7749,2999,64,0
65,65,srtm30m,3140.0000, 37.2354,-118.6240,-7749,3100,65,0
66,66,srtm30m,3083.0000, 37.2354,-118.6229,-7749,3199,66,0
67,67,srtm30m,3040.0000, 37.2354,-118.6217,-7749,3300,67,0
68,68,srtm30m,3003.0000, 37.2354,-118.6206,-7749,3400,68,0
69,69,srtm30m,3457.0000, 37.2363,-118.6974,-7650,-3399,0,1
70,70,srtm30m,3454.0000, 37.2363,-118.6963,-7650,-3300,1,1
71,71,srtm30m,3463.0000, 37.2363,-118.6951,-7650,-3199,2,1
72,72,srtm30m,3470.0000, 37.2363,-118.6940,-7650,-3100,3,1
73,73,srtm30m,3467.0000, 37.2363,-118.6929,-7650,-3000,4,1
74,74,srtm30m,3469.0000, 37.2363,-118.6918,-7650,-2899,5,1
75,75,srtm30m,3478.0000, 37.2363,-118.6906,-7650,-2800,6,1
76,76,srtm30m,3481.0000, 37.2363,-118.6895,-7650,-2699,7,1
77,77,srtm30m,3474.0000, 37.2363,-118.6884,-7650,-2599,8,1
78,78,srtm30m,3476.0000, 37.2363,-118.6872,-7650,-2500,9,1
79,79,srtm30m,3482.0000, 37.2363,-118.6861,-7650,-2399,10,1
80,80,srtm30m,3507.0000, 37.2363,-118.6850,-7650,-2300,11,1
81,81,srtm30m,3526.0000, 37.2363,-118.6838,-7650,-2200,12,1
82,82,srtm30m,3544.0000, 37.2363,-118.6827,-7650,-2099,13,1
83,83,srtm30m,3557.0000, 37.2363,-118.6816,-7650,-2000,14,1
84,84,srtm30m,3526.0000, 37.2363,-118.6805,-7650,-1899,15,1
85,85,srtm30m,3452.0000, 37.2363,-118.6793,-7650,-1799,16,1
86,86,srtm30m,3405.0000, 37.2363,-118.6782,-7650,-1700,17,1
87,87,srtm30m,3379.0000, 37.2363,-118.6771,-7650,-1599,18,1
88,88,srtm30m,3365.0000, 37.2363,-118.6759,-7650,-1499,19,1
89,89,srtm30m,3354.0000, 37.2363,-118.6748,-7650,-1400,20,1
90,90,srtm30m,3347.0000, 37.2363,-118.6737,-7650,-1299,21,1
91,91,srtm30m,3349.0000, 37.2363,-118.6726,-7650,-1200,22,1
92,92,srtm30m,3352.0000, 37.2363,-118.6714,-7650,-1100,23,1
93,93,srtm30m,3347.0000, 37.2363,-118.6703,-7650,-999,24,1
94,94,srtm30m,3348.0000, 37.2363,-118.6692,-7650,-900,25,1
95,95,srtm30m,3347.0000, 37.2363,-118.6680,-7650,-799,26,1
96,96,srtm30m,3346.0000, 37.2363,-118.6669,-7650,-699,27,1
97,97,srtm30m,3343.0000, 37.2363,-118.6658,-7650,-600,28,1
98,98,srtm30m,3342.0000, 37.2363,-118.6646,-7650,-499,29,1
99,99,srtm30m,3336.0000, 37.2363,-118.6635,-7650,-400,30,1
100,0,srtm30m,3344.0000, 37.2363,-118.6624,-7650,-300,31,1
101,1,srtm30m,3373.0000, 37.2363,-118.6613,-7650,-199,32,1
102,2,srtm30m,3393.0000, 37.2363,-118.6601,-7650,-100,33,1
103,3,srtm30m,3429.0000, 37.2363,-118.6590,-7650,0,34,1
104,4,srtm30m,3468.0000, 37.2363,-118.6579,-7650,100,35,1
105,5,srtm30m,3492.0000, 37.2363,-118.6567,-7650,199,36,1
106,6,srtm30m,3511.0000, 37.2363,-118.6556,-7650,300,37,1
107,7,srtm30m,3554.0000, 37.2363,-118.6545,-7650,400,38,1
108,8,srtm30m,3531.0000, 37.2363,-118.6534,-7650,499,39,1
109,9,srtm30m,3478.0000, 37.2363,-118.6522,-7650,600,40,1
110,10,srtm30m,3443.0000, 37.2363,-118.6511,-7650,699,41,1
111,11,srtm30m,3406.0000, 37.2363,-118.6500,-7650,799,42,1
112,12,srtm30m,3402.0000, 37.2363,-118.6488,-7650,900,43,1
113,13,srtm30m,3434.0000, 37.2363,-118.6477,-7650,999,44,1
114,14,srtm30m,3433.0000, 37.2363,-118.6466,-7650,1100,45,1
115,15,srtm30m,3448.0000, 37.2363,-118.6454,-7650,1200,46,1
